0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1s_area,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_0,1alloc_1,1alloc_2,1alloc_3,2volume,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,2alloc_1,2alloc_2,2alloc_3,3volume,3s_area,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,4alloc_1,4alloc_2,4alloc_3,5volume,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,6volume,6demand,6up_spill,6ww_inflow,6catch_inflow,6evap,6ds_spill,9demand,10demand,11demand,12demand
1049,1,52.4172,0,0,821.12,-18.8004,787.503,9100,1,113.583,787.503,0,2630.7,-1180.53,4485.15,2273.08,3463.38,3363.54,10825,36639,614.937,892.86,0,2799.66,149.959,2927.62,8060.58,28578.4,14000,0,1,0,9233.37,0,0,0,9233.37,-2190,0,3402.58,0,1345.64,0,4748.22,2190,2920,2190,0,0,440.84,0,452.02,0,892.86,1500,34.9231,0,0,429.08,-46.6835,440.84,35,35,35,35
1049,1,63.1532,0,0,1567.88,0.292325,1504.43,9100,1,136.847,1504.43,0,2104.56,18.3559,3453.79,2273.08,3463.38,3363.54,10825,36639,698.656,646.29,0,2278.45,258.504,1967.58,8060.58,28578.4,14000,0,1,0,7633.58,0,0,0,7633.58,-2190,0,2409.49,0,1770.3,0,4179.79,2190,2920,2190,0,0,276.78,0,369.51,0,646.29,1500,35.0643,0,0,312.57,0.725875,276.78,35,35,35,35
1049,1,53.6802,0,0,477.28,-5.27702,428.877,9100,1,116.32,428.877,0,723.04,-331.359,1366.96,2273.08,3463.38,3363.54,10825,36639,654.379,843.322,0,911.92,-137.373,1238.24,8060.58,28578.4,14000,0,1,0,12754.8,0,0,0,12754.8,-2190,0,1724.03,0,9663.83,0,11387.9,2190,2920,2190,0,0,257.012,0,586.31,0,843.322,1500,35.5915,0,0,279.5,-13.1034,257.012,35,35,35,35
1049,1,59.0482,0,0,816.99,-0.528347,758.47,9100,1,127.952,758.47,0,1248.46,-33.1764,1912.15,2273.08,3463.38,3363.54,10825,36639,624.082,4213.2,0,1382.14,52.4643,4918.79,8060.58,28578.4,14000,0,1,0,12642.6,0,0,0,12642.6,-2190,0,5346.54,0,5383.88,0,10730.4,2190,2920,2190,0,0,0,0,4213.2,0,4213.2,1495,33.4075,0,0,27.1,-1.31194,0,35,35,35,35
1049,1,53.6802,0,0,694.76,2.05031,639.029,9100,1,116.32,639.029,0,1335.52,128.745,1729.48,2273.08,3463.38,3363.54,10825,36639,628.036,501.666,0,1513.8,-1334.41,2721.84,8060.58,28578.4,14000,0,1,0,8841.31,0,0,0,8841.31,-2190,0,3129.45,0,3982.37,0,7111.82,2190,2920,2190,0,0,10.6258,0,491.04,0,501.666,1500,35.3945,0,0,56.09,5.0742,10.6258,35,35,35,35
1049,1,68.5212,0,0,368.34,-3.46746,303.286,9100,1,148.479,303.286,0,931.57,-217.731,1304.11,2273.08,3463.38,3363.54,10825,36639,742.726,1512.43,0,1162.43,-141.99,2074.12,8060.58,28578.4,14000,0,1,0,13890.6,0,0,0,13890.6,-2190,0,2485.41,0,10101.1,0,12586.5,2190,2920,2190,0,0,82.1258,0,1430.3,0,1512.43,1500,34.1543,0,0,107.67,-8.61007,82.1258,35,35,35,35
1049,1,66.3109,0,0,136.18,4.91694,64.9522,9100,1,143.689,64.9522,0,461.45,308.748,73.9647,2273.08,3463.38,3363.54,10825,36639,608.512,404.593,0,500.87,-170.23,490,8060.58,28578.4,13977.2,0,1,0,9830.9,0,0,0,9830.9,-2190,0,971.627,0,8785.31,0,9756.94,2190,2920,2190,0,0,29.5329,0,375.06,0,404.593,1500,37.0678,0,0,78.81,12.2093,29.5329,35,35,35,35
1049,1,58.7325,0,0,219.18,5.6277,154.82,9100,1,127.268,154.82,0,537.54,353.379,211.714,2273.08,3463.38,3363.54,10825,36639,695.1,793.266,0,1177.07,-630.551,1882.97,8060.58,28578.4,14000,0,1,0,54251.5,0,0,0,54251.5,-2190,0,2354.27,0,51685.5,0,54039.8,2190,2920,2190,0,0,67.9663,0,725.3,0,793.266,1500,34.7395,0,0,116.68,13.9742,67.9663,35,35,35,35
1049,1,61.2586,0,0,164.73,0.979515,102.492,9100,1,132.741,102.492,0,518.08,61.5065,426.324,2273.08,3463.38,3363.54,10825,36560.1,681.181,104.109,0,811.07,82.731,490,8017.97,28542.2,13740.1,0,1,0,50058.5,0,0,0,50058.5,-2190,0,1022.81,0,48609.4,0,49632.2,2190,2920,2190,0,0,16.6893,0,87.42,0,104.109,1500,32.5885,0,0,51.71,2.43224,16.6893,35,35,35,35
1049,1,59.0482,0,0,127.33,6.03381,62.2479,8853.68,1,127.952,62.2479,0,57.45,378.88,25.85,2115.56,3418.32,3319.79,10658.3,36327.4,632.978,195.555,0,109.59,-247.989,490,7933.93,28393.4,13403.1,0,1,0,7420.18,0,0,0,7420.18,-2190,0,1011.08,0,6383.25,0,7394.33,2190,2920,2190,0,0,67.1851,0,128.37,0,195.555,1500,32.1923,0,0,114.36,14.9826,67.1851,35,35,35,35
