0st_vol,0capacity,0net_inf,0st_rof,0st_stor_rof,0st_trmt_rof,0lt_rof,0lt_stor_rof,0lt_trmt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0stor_vol,0obs_ann_dem,0proj_dem,0pv_debt_serv,0gross_rev,1st_vol,1capacity,1net_inf,1st_rof,1st_stor_rof,1st_trmt_rof,1lt_rof,1lt_stor_rof,1lt_trmt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1cont_fund,1ins_pout,1ins_price,1infra_npv,1debt_serv,1stor_vol,1obs_ann_dem,1proj_dem,1pv_debt_serv,1gross_rev,2st_vol,2capacity,2net_inf,2st_rof,2st_stor_rof,2st_trmt_rof,2lt_rof,2lt_stor_rof,2lt_trmt_rof,2rest_demand,2unrest_demand,2unfulf_demand,2wastewater,2treat_capacity,2cont_fund,2ins_pout,2ins_price,2infra_npv,2debt_serv,2stor_vol,2obs_ann_dem,2proj_dem,2pv_debt_serv,2gross_rev
3322.08,3322.08,1121.24,0,0,0,0,0,0,166,166,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.92316,9560.58,9560.58,874.722,0,0,0,0,0,0,222.59,222.59,0,151.527,137999,1,0,0,0,0,9560.58,0,0,0,1.73611,28578.4,28578.4,1580,0,0,0,0,0,0,427.27,427.27,0,323.426,61999.4,1,0,0,0,0,28578.4,0,0,0,2.0483
3322.08,3322.08,1807.97,0,0,0,0,0,0,200,200,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.31706,9560.58,9560.58,675.248,0,0,0,0,0,0,223.49,223.49,0,151.363,137999,1,0,0,0,0,9560.58,0,0,0,1.74313,28578.4,28578.4,1285.86,0,0,0,0,0,0,510.23,510.23,0,290.548,61999.4,1,0,0,0,0,28578.4,0,0,0,2.44601
3322.08,3322.08,559.766,0,0,0,0,0,0,170,170,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.9695,9560.58,9560.58,424.657,0,0,0,0,0,0,226.85,226.85,0,147.97,137999,1,0,0,0,0,9560.58,0,0,0,1.76934,28578.4,28578.4,514.647,0,0,0,0,0,0,463.12,463.12,0,337.818,61999.4,1,0,0,0,0,28578.4,0,0,0,2.22017
3322.08,3322.08,959.417,0,0,0,0,0,0,187,187,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.22008,9555.58,9560.58,247.105,0,0,0,0,0,0,212.93,212.93,0,140.636,137999,1,0,0,0,0,9555.58,0,0,0,1.69013,28578.4,28578.4,780.019,0,0,0,0,0,0,444.56,444.56,0,287.111,61999.4,1,0,0,0,0,28578.4,0,0,0,2.07709
3322.08,3322.08,847.119,0,0,0,0,0,0,170,170,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.01825,9560.58,9560.58,297.053,0,0,0,0,0,0,226.23,226.23,0,132.006,137999,1,0,0,0,0,9560.58,0,0,0,1.7957,28578.4,28578.4,854.322,0,0,0,0,0,0,437.2,437.2,0,275.605,61999.4,1,0,0,0,0,28578.4,0,0,0,2.04271
3322.08,3322.08,474.615,0,0,0,0,0,0,217,217,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.57624,9560.58,9560.58,292.702,0,0,0,0,0,0,217.69,217.69,0,140.251,137999,1,0,0,0,0,9560.58,0,0,0,1.72791,28578.4,28578.4,656.024,0,0,0,0,0,0,559.19,559.19,0,271.042,61999.4,1,0,0,0,0,28578.4,0,0,0,2.61267
3322.08,3322.08,188.823,0,0,0,0,0,0,210,210,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.49313,9560.58,9560.58,158.537,0,0,0,0,0,0,236.26,236.26,0,134.957,137999,1,0,0,0,0,9560.58,0,0,0,1.87531,28578.4,28578.4,282.669,0,0,0,0,0,0,409.32,409.32,0,346.67,61999.4,1,0,0,0,0,28578.4,0,0,0,1.91244
3322.08,3322.08,280.504,0,0,0,0,0,0,186,186,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.2082,9560.58,9560.58,304.043,0,0,0,0,0,0,221.42,221.42,0,172.479,137999,1,0,0,0,0,9560.58,0,0,0,1.75752,28578.4,28578.4,664.286,0,0,0,0,0,0,508.42,508.42,0,298.82,61999.4,1,0,0,0,0,28578.4,0,0,0,2.37546
3322.08,3322.08,223.834,0,0,0,0,0,0,194,194,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.314,9517.97,9560.58,180.814,0,0,0,0,0,0,207.71,207.71,0,161.645,137999,1,0,0,0,0,9517.97,0,0,0,1.65364,28542.2,28578.4,457.732,0,0,0,0,0,0,506.06,506.06,0,371.167,61999.4,1,0,0,0,0,28542.2,0,0,0,2.45795
3164.56,3322.08,133.884,0,0,0,0,0,0,187,187,0,0,1108,1,0,0,0,0,3164.56,0,0,0,2.23051,9433.93,9560.58,131.804,0,0,0,0,0,0,204.27,204.27,0,151.637,137999,1,0,0,0,0,9433.93,0,0,0,1.62625,28393.4,28578.4,61.8478,0,0,0,0,0,0,460.9,460.9,0,369.444,61999.4,1,0,0,0,0,28393.4,0,0,0,2.23861
3036.58,3322.08,114.358,0,0,0,0,0,0,215,215,0,0,1108,1,0,0,0,0,3036.58,0,0,0,2.56449,9338.8,9560.58,131.228,0,0,0,0,0,0,204.33,204.33,0,149.125,137999,1,0,0,0,0,9338.8,0,0,0,1.62673,28186.7,28578.4,162.021,0,0,0,0,0,0,478.72,478.72,0,336.475,61999.4,1,0,0,0,0,28186.7,0,0,0,2.32516
3322.08,3322.08,213.381,0,0,0,0,0,0,181,181,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.15894,9248.49,9560.58,213.535,0,0,0,0,0,0,211.06,211.06,0,163.409,137999,1,0,0,0,0,9248.49,0,0,0,1.68031,28136.7,28578.4,162.788,0,0,0,0,0,0,357.85,357.85,0,382.847,61999.4,1,0,0,0,0,28136.7,0,0,0,1.73809
3322.08,3322.08,291.414,0,0,0,0,0,0,151,151,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.76303,9234.57,9560.58,315.388,0,0,0,0,0,0,181.22,181.22,0,181.501,137999,1,0,0,0,0,9234.57,0,0,0,1.42252,28230.9,28578.4,255.975,0,0,0,0,0,0,394.81,394.81,0,307.733,61999.4,1,0,0,0,0,28230.9,0,0,0,1.83668
3322.08,3322.08,254.234,0,0,0,0,0,0,159,159,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.85644,9205.48,9560.58,297.674,0,0,0,0,0,0,191.37,191.37,0,155.84,137999,1,0,0,0,0,9205.48,0,0,0,1.5022,28249.6,28578.4,195.758,0,0,0,0,0,0,446.41,446.41,0,339.517,61999.4,1,0,0,0,0,28249.6,0,0,0,2.07673
3322.08,3322.08,589.607,0,0,0,0,0,0,146,146,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.70465,9560.58,9560.58,1668.21,0,0,0,0,0,0,186.87,186.87,0,164.569,137999,1,0,0,0,0,9560.58,0,0,0,1.46687,28578.4,28578.4,580.796,0,0,0,0,0,0,389.37,389.37,0,383.89,61999.4,1,0,0,0,0,28578.4,0,0,0,1.81137
3322.08,3322.08,937.35,0,0,0,0,0,0,136,136,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.5879,9560.58,9560.58,1680.69,0,0,0,0,0,0,180.2,180.2,0,165.24,137999,1,0,0,0,0,9560.58,0,0,0,1.41451,28578.4,28578.4,1646.5,0,0,0,0,0,0,390.91,390.91,0,344.3,61999.4,1,0,0,0,0,28578.4,0,0,0,1.81854
3322.08,3322.08,2059.07,0,0,0,0,0,0,168,168,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.95997,9560.58,9560.58,3714.72,0,0,0,0,0,0,187.05,187.05,0,171.19,137999,1,0,0,0,0,9560.58,0,0,0,1.47064,28578.4,28578.4,2706.76,0,0,0,0,0,0,357.54,357.54,0,371.364,61999.4,1,0,0,0,0,28578.4,0,0,0,1.71204
3322.08,3322.08,1983.01,0,0,0,0,0,0,157,157,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.83164,9560.58,9560.58,2639.22,0,0,0,0,0,0,182.12,182.12,0,177.698,137999,1,0,0,0,0,9560.58,0,0,0,1.43188,28578.4,28578.4,3320.89,0,0,0,0,0,0,383.63,383.63,0,339.663,61999.4,1,0,0,0,0,28578.4,0,0,0,1.83697
3322.08,3322.08,2999.9,0,0,0,0,0,0,143,143,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.66831,9560.58,9560.58,5358.1,0,0,0,0,0,0,179.81,179.81,0,173.014,137999,1,0,0,0,0,9560.58,0,0,0,1.41372,28578.4,28578.4,7328.3,0,0,0,0,0,0,365.24,365.24,0,364.449,61999.4,1,0,0,0,0,28578.4,0,0,0,1.74891
3322.08,3322.08,4230.55,0,0,0,0,0,0,181,181,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.11164,9560.58,9560.58,5538.62,0,0,0,0,0,0,214.68,214.68,0,170.819,137999,1,0,0,0,0,9560.58,0,0,0,1.68787,28578.4,28578.4,6753.85,0,0,0,0,0,0,371.27,371.27,0,346.978,61999.4,1,0,0,0,0,28578.4,0,0,0,1.77779
